X®y¼Ð,Y®y¼Ð,x»~®t,y»~®t
"[295.49, 412.41, 443.58, 642.77, 624.5799999999999, 609.86, 415.0, 349.19, 572.62, 267.78]","[101.0, 168.5, 186.5, 301.5, 291.0, 282.5, 170.0, 132.0, 261.0, 85.0]","[204.51, 87.58999999999997, 56.420000000000016, -142.76999999999998, -124.57999999999993, -109.86000000000001, 85.0, 150.81, -72.62, 232.22000000000003]","[199.0, 131.5, 113.5, -1.5, 9.0, 17.5, 130.0, 168.0, 39.0, 215.0]"
"[295.49, 412.41, 443.58, 642.77, 624.5799999999999, 609.86, 415.0, 349.19, 572.62, 267.78]","[101.0, 168.5, 186.5, 301.5, 291.0, 282.5, 170.0, 132.0, 261.0, 85.0]","[204.51, 87.58999999999997, 56.420000000000016, -142.76999999999998, -124.57999999999993, -109.86000000000001, 85.0, 150.81, -72.62, 232.22000000000003]","[199.0, 131.5, 113.5, -1.5, 9.0, 17.5, 130.0, 168.0, 39.0, 215.0]"
"[295.49, 412.41, 443.58, 642.77, 624.5799999999999, 609.86, 415.0, 349.19, 572.62, 267.78]","[101.0, 168.5, 186.5, 301.5, 291.0, 282.5, 170.0, 132.0, 261.0, 85.0]","[204.51, 87.58999999999997, 56.420000000000016, -142.76999999999998, -124.57999999999993, -109.86000000000001, 85.0, 150.81, -72.62, 232.22000000000003]","[199.0, 131.5, 113.5, -1.5, 9.0, 17.5, 130.0, 168.0, 39.0, 215.0]"
"[295.49, 412.41, 443.58, 642.77, 624.5799999999999, 609.86, 415.0, 349.19, 572.62, 267.78]","[101.0, 168.5, 186.5, 301.5, 291.0, 282.5, 170.0, 132.0, 261.0, 85.0]","[204.51, 87.58999999999997, 56.420000000000016, -142.76999999999998, -124.57999999999993, -109.86000000000001, 85.0, 150.81, -72.62, 232.22000000000003]","[199.0, 131.5, 113.5, -1.5, 9.0, 17.5, 130.0, 168.0, 39.0, 215.0]"
"[295.49, 412.41, 443.58, 642.77, 624.5799999999999, 609.86, 415.0, 349.19, 572.62, 267.78]","[101.0, 168.5, 186.5, 301.5, 291.0, 282.5, 170.0, 132.0, 261.0, 85.0]","[204.51, 87.58999999999997, 56.420000000000016, -142.76999999999998, -124.57999999999993, -109.86000000000001, 85.0, 150.81, -72.62, 232.22000000000003]","[199.0, 131.5, 113.5, -1.5, 9.0, 17.5, 130.0, 168.0, 39.0, 215.0]"
"[295.49, 412.41, 443.58, 642.77, 624.5799999999999, 609.86, 415.0, 349.19, 572.62, 267.78]","[101.0, 168.5, 186.5, 301.5, 291.0, 282.5, 170.0, 132.0, 261.0, 85.0]","[204.51, 87.58999999999997, 56.420000000000016, -142.76999999999998, -124.57999999999993, -109.86000000000001, 85.0, 150.81, -72.62, 232.22000000000003]","[199.0, 131.5, 113.5, -1.5, 9.0, 17.5, 130.0, 168.0, 39.0, 215.0]"
"[295.49, 412.41, 443.58, 642.77, 624.5799999999999, 609.86, 415.0, 349.19, 572.62, 267.78]","[101.0, 168.5, 186.5, 301.5, 291.0, 282.5, 170.0, 132.0, 261.0, 85.0]","[204.51, 87.58999999999997, 56.420000000000016, -142.76999999999998, -124.57999999999993, -109.86000000000001, 85.0, 150.81, -72.62, 232.22000000000003]","[199.0, 131.5, 113.5, -1.5, 9.0, 17.5, 130.0, 168.0, 39.0, 215.0]"
"[295.49, 412.41, 443.58, 642.77, 624.5799999999999, 609.86, 415.0, 349.19, 572.62, 267.78]","[101.0, 168.5, 186.5, 301.5, 291.0, 282.5, 170.0, 132.0, 261.0, 85.0]","[204.51, 87.58999999999997, 56.420000000000016, -142.76999999999998, -124.57999999999993, -109.86000000000001, 85.0, 150.81, -72.62, 232.22000000000003]","[199.0, 131.5, 113.5, -1.5, 9.0, 17.5, 130.0, 168.0, 39.0, 215.0]"
"[295.49, 412.41, 443.58, 642.77, 624.5799999999999, 609.86, 415.0, 349.19, 572.62, 267.78]","[101.0, 168.5, 186.5, 301.5, 291.0, 282.5, 170.0, 132.0, 261.0, 85.0]","[204.51, 87.58999999999997, 56.420000000000016, -142.76999999999998, -124.57999999999993, -109.86000000000001, 85.0, 150.81, -72.62, 232.22000000000003]","[199.0, 131.5, 113.5, -1.5, 9.0, 17.5, 130.0, 168.0, 39.0, 215.0]"
"[295.49, 412.41, 443.58, 642.77, 624.5799999999999, 609.86, 415.0, 349.19, 572.62, 267.78]","[101.0, 168.5, 186.5, 301.5, 291.0, 282.5, 170.0, 132.0, 261.0, 85.0]","[204.51, 87.58999999999997, 56.420000000000016, -142.76999999999998, -124.57999999999993, -109.86000000000001, 85.0, 150.81, -72.62, 232.22000000000003]","[199.0, 131.5, 113.5, -1.5, 9.0, 17.5, 130.0, 168.0, 39.0, 215.0]"
