X®y¼Ð,Y®y¼Ð,x»~®t,y»~®t
275.4,508.25,24.6,-8.25
270.74,510.44,29.26,-10.44
260.9,512.75,39.1,-12.75
275.4,508.25,24.6,-8.25
275.15,507.28,24.85,-7.28
265.83,511.62,34.17,-11.62
266.29,513.57,33.71,-13.57
274.66,505.34,25.34,-5.34
289.26,501.38,10.74,-1.38
260.68,511.77,39.32,-11.77
270.74,510.44,29.26,-10.44
270.27,508.5,29.73,-8.5
260.03,508.84,39.97,-8.84
250.53,512.91,49.47,-12.91
265.37,509.67,34.63,-9.67
265.37,509.67,34.63,-9.67
269.79,506.56,30.21,-6.56
269.79,506.56,30.21,-6.56
255.46,511.89,44.54,-11.89
260.68,511.77,39.32,-11.77
264.92,507.72,35.08,-7.72
264.92,507.72,35.08,-7.72
259.38,505.92,40.62,-5.92
259.59,506.89,40.41,-6.89
279.34,503.09,20.66,-3.09
269.56,505.59,30.44,-5.59
269.32,504.61,30.68,-4.61
268.84,502.67,31.16,-2.67
255.25,510.91,44.75,-10.91
264.92,507.72,35.08,-7.72
270.03,507.53,29.97,-7.53
265.37,509.67,34.63,-9.67
265.37,509.67,34.63,-9.67
265.37,509.67,34.63,-9.67
255.05,509.93,44.95,-9.93
254.84,508.95,45.16,-8.95
259.81,507.87,40.19,-7.87
265.37,509.67,34.63,-9.67
265.15,508.7,34.85,-8.7
264.46,505.78,35.54,-5.78
264.69,506.75,35.31,-6.75
264.46,505.78,35.54,-5.78
288.43,498.5,11.57,1.5
288.43,498.5,11.57,1.5
274.16,503.4,25.84,-3.4
269.32,504.61,30.68,-4.61
259.81,507.87,40.19,-7.87
264.69,506.75,35.31,-6.75
264.23,504.8,35.77,-4.8
274.16,503.4,25.84,-3.4
264.23,504.8,35.77,-4.8
269.79,506.56,30.21,-6.56
260.68,511.77,39.32,-11.77
265.37,509.67,34.63,-9.67
264.92,507.72,35.08,-7.72
270.03,507.53,29.97,-7.53
270.03,507.53,29.97,-7.53
260.25,509.82,39.75,-9.82
260.68,511.77,39.32,-11.77
265.83,511.62,34.17,-11.62
270.51,509.47,29.49,-9.47
265.37,509.67,34.63,-9.67
270.27,508.5,29.73,-8.5
225.73,518.31,74.27,-18.31
245.78,514.87,54.22,-14.87
260.47,510.79,39.53,-10.79
255.25,510.91,44.75,-10.91
260.68,511.77,39.32,-11.77
265.15,508.7,34.85,-8.7
270.03,507.53,29.97,-7.53
270.27,508.5,29.73,-8.5
265.37,509.67,34.63,-9.67
245.22,511.92,54.78,-11.92
265.37,509.67,34.63,-9.67
265.15,508.7,34.85,-8.7
260.47,510.79,39.53,-10.79
265.15,508.7,34.85,-8.7
264.92,507.72,35.08,-7.72
270.74,510.44,29.26,-10.44
266.97,516.49,33.03,-16.49
265.15,508.7,34.85,-8.7
255.67,512.87,44.33,-12.87
261.34,514.7,38.66,-14.7
265.37,509.67,34.63,-9.67
265.37,509.67,34.63,-9.67
264.92,507.72,35.08,-7.72
265.15,508.7,34.85,-8.7
265.37,509.67,34.63,-9.67
265.6,510.64,34.4,-10.64
266.29,513.57,33.71,-13.57
266.06,512.59,33.94,-12.59
255.46,511.89,44.54,-11.89
266.29,513.57,33.71,-13.57
261.78,516.65,38.22,-16.65
261.78,516.65,38.22,-16.65
265.37,509.67,34.63,-9.67
265.37,509.67,34.63,-9.67
266.51,514.54,33.49,-14.54
270.27,508.5,29.73,-8.5
270.74,510.44,29.26,-10.44
275.89,510.19,24.11,-10.19
276.14,511.15,23.86,-11.15
266.06,512.59,33.94,-12.59
270.74,510.44,29.26,-10.44
266.29,513.57,33.71,-13.57
261.34,514.7,38.66,-14.7
270.27,508.5,29.73,-8.5
265.83,511.62,34.17,-11.62
265.83,511.62,34.17,-11.62
265.15,508.7,34.85,-8.7
270.74,510.44,29.26,-10.44
266.06,512.59,33.94,-12.59
270.27,508.5,29.73,-8.5
275.15,507.28,24.85,-7.28
271.22,512.38,28.78,-12.38
270.51,509.47,29.49,-9.47
266.29,513.57,33.71,-13.57
246.54,518.8,53.46,-18.8
260.47,510.79,39.53,-10.79
260.25,509.82,39.75,-9.82
255.25,510.91,44.75,-10.91
260.03,508.84,39.97,-8.84
260.9,512.75,39.1,-12.75
265.15,508.7,34.85,-8.7
270.27,508.5,29.73,-8.5
271.22,512.38,28.78,-12.38
271.46,513.36,28.54,-13.36
270.98,511.41,29.02,-11.41
271.22,512.38,28.78,-12.38
280.88,508.89,19.12,-8.89
284.97,504.67,15.03,-4.67
265.83,511.62,34.17,-11.62
270.51,509.47,29.49,-9.47
270.98,511.41,29.02,-11.41
250.93,514.87,49.07,-14.87
271.22,512.38,28.78,-12.38
271.46,513.36,28.54,-13.36
266.51,514.54,33.49,-14.54
261.56,515.67,38.44,-15.67
276.88,514.06,23.12,-14.06
265.6,510.64,34.4,-10.64
270.27,508.5,29.73,-8.5
270.51,509.47,29.49,-9.47
270.98,511.41,29.02,-11.41
266.06,512.59,33.94,-12.59
270.98,511.41,29.02,-11.41
270.74,510.44,29.26,-10.44
270.74,510.44,29.26,-10.44
270.98,511.41,29.02,-11.41
265.6,510.64,34.4,-10.64
266.06,512.59,33.94,-12.59
276.39,512.12,23.61,-12.12
276.88,514.06,23.12,-14.06
246.16,516.83,53.84,-16.83
261.12,513.72,38.88,-13.72
265.37,509.67,34.63,-9.67
256.3,515.8,43.7,-15.8
261.56,515.67,38.44,-15.67
261.34,514.7,38.66,-14.7
266.06,512.59,33.94,-12.59
261.56,515.67,38.44,-15.67
266.29,513.57,33.71,-13.57
266.06,512.59,33.94,-12.59
260.9,512.75,39.1,-12.75
265.6,510.64,34.4,-10.64
260.47,510.79,39.53,-10.79
270.27,508.5,29.73,-8.5
265.37,509.67,34.63,-9.67
265.37,509.67,34.63,-9.67
275.15,507.28,24.85,-7.28
274.66,505.34,25.34,-5.34
274.91,506.31,25.09,-6.31
270.74,510.44,29.26,-10.44
265.6,510.64,34.4,-10.64
270.98,511.41,29.02,-11.41
270.98,511.41,29.02,-11.41
275.15,507.28,24.85,-7.28
270.27,508.5,29.73,-8.5
275.15,507.28,24.85,-7.28
265.83,511.62,34.17,-11.62
265.83,511.62,34.17,-11.62
266.06,512.59,33.94,-12.59
265.37,509.67,34.63,-9.67
270.27,508.5,29.73,-8.5
265.37,509.67,34.63,-9.67
260.9,512.75,39.1,-12.75
255.67,512.87,44.33,-12.87
274.91,506.31,25.09,-6.31
271.46,513.36,28.54,-13.36
261.12,513.72,38.88,-13.72
265.6,510.64,34.4,-10.64
271.7,514.33,28.3,-14.33
270.74,510.44,29.26,-10.44
265.37,509.67,34.63,-9.67
270.74,510.44,29.26,-10.44
275.4,508.25,24.6,-8.25
270.74,510.44,29.26,-10.44
265.15,508.7,34.85,-8.7
275.4,508.25,24.6,-8.25
274.91,506.31,25.09,-6.31
270.03,507.53,29.97,-7.53
270.27,508.5,29.73,-8.5
266.29,513.57,33.71,-13.57
264.69,506.75,35.31,-6.75
280.11,505.99,19.89,-5.99
283.9,500.81,16.1,-0.81
289.54,502.34,10.46,-2.34
265.37,509.67,34.63,-9.67
265.6,510.64,34.4,-10.64
260.9,512.75,39.1,-12.75
255.25,510.91,44.75,-10.91
264.46,505.78,35.54,-5.78
264.01,503.83,35.99,-3.83
264.92,507.72,35.08,-7.72
259.59,506.89,40.41,-6.89
264.69,506.75,35.31,-6.75
264.69,506.75,35.31,-6.75
260.47,510.79,39.53,-10.79
269.79,506.56,30.21,-6.56
264.46,505.78,35.54,-5.78
260.9,512.75,39.1,-12.75
265.83,511.62,34.17,-11.62
250.34,511.93,49.66,-11.93
260.25,509.82,39.75,-9.82
250.73,513.89,49.27,-13.89
265.83,511.62,34.17,-11.62
265.83,511.62,34.17,-11.62
270.27,508.5,29.73,-8.5
270.27,508.5,29.73,-8.5
265.6,510.64,34.4,-10.64
275.89,510.19,24.11,-10.19
266.06,512.59,33.94,-12.59
261.12,513.72,38.88,-13.72
266.29,513.57,33.71,-13.57
266.51,514.54,33.49,-14.54
270.98,511.41,29.02,-11.41
270.98,511.41,29.02,-11.41
270.74,510.44,29.26,-10.44
264.01,503.83,35.99,-3.83
271.46,513.36,28.54,-13.36
270.98,511.41,29.02,-11.41
265.83,511.62,34.17,-11.62
275.4,508.25,24.6,-8.25
285.77,507.56,14.23,-7.56
270.98,511.41,29.02,-11.41
284.97,504.67,15.03,-4.67
265.6,510.64,34.4,-10.64
266.51,514.54,33.49,-14.54
231.12,519.49,68.88,-19.49
255.88,513.84,44.12,-13.84
225.88,519.3,74.12,-19.3
249.94,509.97,50.06,-9.97
250.53,512.91,49.47,-12.91
259.81,507.87,40.19,-7.87
259.59,506.89,40.41,-6.89
246.35,517.82,53.65,-17.82
236.45,520.63,63.55,-20.63
240.92,516.8,59.08,-16.8
255.88,513.84,44.12,-13.84
261.34,514.7,38.66,-14.7
270.51,509.47,29.49,-9.47
265.15,508.7,34.85,-8.7
268.61,501.7,31.39,-1.7
261.12,513.72,38.88,-13.72
256.09,514.82,43.91,-14.82
266.29,513.57,33.71,-13.57
256.09,514.82,43.91,-14.82
262.21,518.6,37.79,-18.6
256.5,516.78,43.5,-16.78
255.46,511.89,44.54,-11.89
260.47,510.79,39.53,-10.79
261.12,513.72,38.88,-13.72
261.12,513.72,38.88,-13.72
255.67,512.87,44.33,-12.87
260.68,511.77,39.32,-11.77
260.68,511.77,39.32,-11.77
265.6,510.64,34.4,-10.64
260.9,512.75,39.1,-12.75
266.06,512.59,33.94,-12.59
245.78,514.87,54.22,-14.87
260.68,511.77,39.32,-11.77
260.9,512.75,39.1,-12.75
260.03,508.84,39.97,-8.84
256.5,516.78,43.5,-16.78
265.15,508.7,34.85,-8.7
266.06,512.59,33.94,-12.59
260.68,511.77,39.32,-11.77
266.29,513.57,33.71,-13.57
255.88,513.84,44.12,-13.84
265.6,510.64,34.4,-10.64
265.37,509.67,34.63,-9.67
260.47,510.79,39.53,-10.79
261.34,514.7,38.66,-14.7
265.83,511.62,34.17,-11.62
265.37,509.67,34.63,-9.67
270.98,511.41,29.02,-11.41
271.22,512.38,28.78,-12.38
271.22,512.38,28.78,-12.38
275.4,508.25,24.6,-8.25
270.51,509.47,29.49,-9.47
270.51,509.47,29.49,-9.47
274.66,505.34,25.34,-5.34
275.65,509.22,24.35,-9.22
274.41,504.37,25.59,-4.37
269.32,504.61,30.68,-4.61
266.06,512.59,33.94,-12.59
270.51,509.47,29.49,-9.47
275.15,507.28,24.85,-7.28
254.84,508.95,45.16,-8.95
270.98,511.41,29.02,-11.41
270.51,509.47,29.49,-9.47
279.85,505.02,20.15,-5.02
284.17,501.78,15.83,-1.78
275.15,507.28,24.85,-7.28
264.23,504.8,35.77,-4.8
269.08,503.64,30.92,-3.64
260.47,510.79,39.53,-10.79
280.37,506.95,19.63,-6.95
269.32,504.61,30.68,-4.61
265.15,508.7,34.85,-8.7
270.27,508.5,29.73,-8.5
269.56,505.59,30.44,-5.59
264.23,504.8,35.77,-4.8
255.25,510.91,44.75,-10.91
265.6,510.64,34.4,-10.64
264.23,504.8,35.77,-4.8
265.83,511.62,34.17,-11.62
264.23,504.8,35.77,-4.8
259.59,506.89,40.41,-6.89
249.54,508.01,50.46,-8.01
250.14,510.95,49.86,-10.95
260.03,508.84,39.97,-8.84
250.53,512.91,49.47,-12.91
270.51,509.47,29.49,-9.47
266.06,512.59,33.94,-12.59
250.34,511.93,49.66,-11.93
255.25,510.91,44.75,-10.91
254.42,507,45.58,-7
254.42,507,45.58,-7
270.51,509.47,29.49,-9.47
259.81,507.87,40.19,-7.87
250.34,511.93,49.66,-11.93
259.59,506.89,40.41,-6.89
250.14,510.95,49.86,-10.95
265.83,511.62,34.17,-11.62
259.38,505.92,40.62,-5.92
259.38,505.92,40.62,-5.92
265.15,508.7,34.85,-8.7
269.32,504.61,30.68,-4.61
255.05,509.93,44.95,-9.93
264.01,503.83,35.99,-3.83
259.81,507.87,40.19,-7.87
259.81,507.87,40.19,-7.87
264.46,505.78,35.54,-5.78
245.78,514.87,54.22,-14.87
255.46,511.89,44.54,-11.89
265.6,510.64,34.4,-10.64
260.03,508.84,39.97,-8.84
265.6,510.64,34.4,-10.64
260.25,509.82,39.75,-9.82
254.63,507.98,45.37,-7.98
259.81,507.87,40.19,-7.87
259.59,506.89,40.41,-6.89
255.25,510.91,44.75,-10.91
255.46,511.89,44.54,-11.89
265.83,511.62,34.17,-11.62
265.6,510.64,34.4,-10.64
264.01,503.83,35.99,-3.83
266.06,512.59,33.94,-12.59
265.15,508.7,34.85,-8.7
255.67,512.87,44.33,-12.87
270.03,507.53,29.97,-7.53
260.25,509.82,39.75,-9.82
265.83,511.62,34.17,-11.62
265.6,510.64,34.4,-10.64
265.6,510.64,34.4,-10.64
264.92,507.72,35.08,-7.72
260.68,511.77,39.32,-11.77
255.88,513.84,44.12,-13.84
255.88,513.84,44.12,-13.84
260.68,511.77,39.32,-11.77
265.15,508.7,34.85,-8.7
265.83,511.62,34.17,-11.62
260.9,512.75,39.1,-12.75
255.88,513.84,44.12,-13.84
260.9,512.75,39.1,-12.75
260.68,511.77,39.32,-11.77
265.37,509.67,34.63,-9.67
260.47,510.79,39.53,-10.79
255.67,512.87,44.33,-12.87
255.46,511.89,44.54,-11.89
261.12,513.72,38.88,-13.72
260.25,509.82,39.75,-9.82
270.98,511.41,29.02,-11.41
270.74,510.44,29.26,-10.44
270.51,509.47,29.49,-9.47
260.68,511.77,39.32,-11.77
260.25,509.82,39.75,-9.82
265.6,510.64,34.4,-10.64
265.6,510.64,34.4,-10.64
270.27,508.5,29.73,-8.5
265.15,508.7,34.85,-8.7
260.9,512.75,39.1,-12.75
255.46,511.89,44.54,-11.89
264.92,507.72,35.08,-7.72
265.6,510.64,34.4,-10.64
256.09,514.82,43.91,-14.82
261.56,515.67,38.44,-15.67
270.03,507.53,29.97,-7.53
265.37,509.67,34.63,-9.67
264.92,507.72,35.08,-7.72
264.92,507.72,35.08,-7.72
265.37,509.67,34.63,-9.67
260.68,511.77,39.32,-11.77
266.51,514.54,33.49,-14.54
265.37,509.67,34.63,-9.67
260.03,508.84,39.97,-8.84
269.56,505.59,30.44,-5.59
265.6,510.64,34.4,-10.64
264.46,505.78,35.54,-5.78
264.46,505.78,35.54,-5.78
261.12,513.72,38.88,-13.72
266.29,513.57,33.71,-13.57
261.78,516.65,38.22,-16.65
265.6,510.64,34.4,-10.64
261.12,513.72,38.88,-13.72
261.34,514.7,38.66,-14.7
261.34,514.7,38.66,-14.7
260.9,512.75,39.1,-12.75
260.9,512.75,39.1,-12.75
266.29,513.57,33.71,-13.57
266.29,513.57,33.71,-13.57
266.29,513.57,33.71,-13.57
266.29,513.57,33.71,-13.57
271.46,513.36,28.54,-13.36
260.68,511.77,39.32,-11.77
260.9,512.75,39.1,-12.75
261.34,514.7,38.66,-14.7
266.29,513.57,33.71,-13.57
251.33,516.83,48.67,-16.83
251.13,515.85,48.87,-15.85
261.12,513.72,38.88,-13.72
235.94,517.68,64.06,-17.68
251.33,516.83,48.67,-16.83
226.03,520.29,73.97,-20.29
236.45,520.63,63.55,-20.63
246.16,516.83,53.84,-16.83
261.12,513.72,38.88,-13.72
261.56,515.67,38.44,-15.67
270.74,510.44,29.26,-10.44
265.83,511.62,34.17,-11.62
271.22,512.38,28.78,-12.38
270.74,510.44,29.26,-10.44
276.39,512.12,23.61,-12.12
266.51,514.54,33.49,-14.54
266.29,513.57,33.71,-13.57
270.98,511.41,29.02,-11.41
290.64,506.18,9.36,-6.18
260.9,512.75,39.1,-12.75
270.98,511.41,29.02,-11.41
265.83,511.62,34.17,-11.62
275.65,509.22,24.35,-9.22
266.06,512.59,33.94,-12.59
266.29,513.57,33.71,-13.57
266.06,512.59,33.94,-12.59
290.36,505.22,9.64,-5.22
280.37,506.95,19.63,-6.95
266.51,514.54,33.49,-14.54
275.89,510.19,24.11,-10.19
271.22,512.38,28.78,-12.38
260.9,512.75,39.1,-12.75
261.34,514.7,38.66,-14.7
256.09,514.82,43.91,-14.82
261.99,517.63,38.01,-17.63
276.14,511.15,23.86,-11.15
266.06,512.59,33.94,-12.59
266.51,514.54,33.49,-14.54
269.79,506.56,30.21,-6.56
265.6,510.64,34.4,-10.64
266.51,514.54,33.49,-14.54
265.83,511.62,34.17,-11.62
265.6,510.64,34.4,-10.64
280.11,505.99,19.89,-5.99
275.89,510.19,24.11,-10.19
260.25,509.82,39.75,-9.82
260.47,510.79,39.53,-10.79
260.9,512.75,39.1,-12.75
270.27,508.5,29.73,-8.5
270.03,507.53,29.97,-7.53
265.15,508.7,34.85,-8.7
260.47,510.79,39.53,-10.79
275.65,509.22,24.35,-9.22
265.15,508.7,34.85,-8.7
270.74,510.44,29.26,-10.44
270.03,507.53,29.97,-7.53
265.37,509.67,34.63,-9.67
275.15,507.28,24.85,-7.28
279.85,505.02,20.15,-5.02
280.62,507.92,19.38,-7.92
270.27,508.5,29.73,-8.5
