X®y¼Ð,Y®y¼Ð,»~®tx,»~®ty
273.16,300.39,26.84,-0.39
271.51,304.37,28.49,-4.37
267.88,303.71,32.12,-3.71
272.68,307.13,27.32,-7.13
272.68,307.13,27.32,-7.13
271.12,303.45,28.88,-3.45
269.4,307.41,30.6,-7.41
272.68,307.13,27.32,-7.13
267.88,303.71,32.12,-3.71
275.56,305.9,24.44,-5.9
269.02,306.49,30.98,-6.49
271.9,305.29,28.1,-5.29
271.9,305.29,28.1,-5.29
272.29,306.21,27.71,-6.21
265.72,306.75,34.28,-6.75
271.9,305.29,28.1,-5.29
263.55,309.75,36.45,-9.75
271.51,304.37,28.49,-4.37
269.4,307.41,30.6,-7.41
269.4,307.41,30.6,-7.41
269.02,306.49,30.98,-6.49
262.83,307.89,37.17,-7.89
266.09,307.68,33.91,-7.68
262.47,306.95,37.53,-6.95
265.72,306.75,34.28,-6.75
262.47,306.95,37.53,-6.95
267.88,303.71,32.12,-3.71
265.72,306.75,34.28,-6.75
269.4,307.41,30.6,-7.41
269.78,308.34,30.22,-8.34
271.9,305.29,28.1,-5.29
271.12,303.45,28.88,-3.45
269.78,308.34,30.22,-8.34
266.83,309.53,33.17,-9.53
263.19,308.82,36.81,-8.82
263.55,309.75,36.45,-9.75
270.16,309.26,29.84,-9.26
254.05,311.14,45.95,-11.14
271.51,304.37,28.49,-4.37
271.9,305.29,28.1,-5.29
271.51,304.37,28.49,-4.37
273.96,302.23,26.04,-2.23
270.34,301.6,29.66,-1.6
280.91,302.41,19.09,-2.41
274.76,304.06,25.24,-4.06
276.35,307.73,23.65,-7.73
278.42,304.63,21.58,-4.63
274.36,303.14,25.64,-3.14
271.51,304.37,28.49,-4.37
272.29,306.21,27.71,-6.21
271.12,303.45,28.88,-3.45
270.73,302.53,29.27,-2.53
275.16,304.98,24.84,-4.98
274.36,303.14,25.64,-3.14
273.56,301.31,26.44,-1.31
270.73,302.53,29.27,-2.53
274.76,304.06,25.24,-4.06
271.12,303.45,28.88,-3.45
275.56,305.9,24.44,-5.9
271.51,304.37,28.49,-4.37
271.51,304.37,28.49,-4.37
270.73,302.53,29.27,-2.53
271.51,304.37,28.49,-4.37
272.68,307.13,27.32,-7.13
274.76,304.06,25.24,-4.06
273.96,302.23,26.04,-2.23
274.76,304.06,25.24,-4.06
274.76,304.06,25.24,-4.06
273.96,302.23,26.04,-2.23
270.34,301.6,29.66,-1.6
262.47,306.95,37.53,-6.95
271.9,305.29,28.1,-5.29
269.02,306.49,30.98,-6.49
272.29,306.21,27.71,-6.21
272.29,306.21,27.71,-6.21
271.12,303.45,28.88,-3.45
272.29,306.21,27.71,-6.21
271.9,305.29,28.1,-5.29
263.19,308.82,36.81,-8.82
271.51,304.37,28.49,-4.37
275.56,305.9,24.44,-5.9
271.51,304.37,28.49,-4.37
273.96,302.23,26.04,-2.23
271.9,305.29,28.1,-5.29
273.96,302.23,26.04,-2.23
275.16,304.98,24.84,-4.98
273.96,302.23,26.04,-2.23
272.29,306.21,27.71,-6.21
271.12,303.45,28.88,-3.45
278.02,303.72,21.98,-3.72
274.36,303.14,25.64,-3.14
271.9,305.29,28.1,-5.29
274.76,304.06,25.24,-4.06
262.83,307.89,37.17,-7.89
271.12,303.45,28.88,-3.45
269.02,306.49,30.98,-6.49
271.51,304.37,28.49,-4.37
269.4,307.41,30.6,-7.41
275.95,306.81,24.05,-6.81
275.16,304.98,24.84,-4.98
